аваморить авамори
авторство авторства
агэ агэ
агэдася агэдаси
агэмотя агэмоти
аквариус аквариус
амадзакэ амадзакэ
аманатто аманатто
амер амер
амэ амэ
ан ан
анализатор анализатор
англ англ
анко анко
аонорь аонори
арарэ арарэ
архивировать архивировано
ба ба
бамбуковый бамбуковые
банк банках
бантить бантя
белка белки
блюдо блюд блюда
больший наибольшее
бонтан бонтан
ботё ботё
бэнить бэни
бэнто бэнто
вагаси вагаси
варабимоти варабимоти
васаби васаби
версия версии версия
вид виде видов виды
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
викисклад викисклад
вклад вклад
вкус вкус
войти войти
вустерский вустерский
выдерживать выдерживают
г г
гарнир гарнир
гарь гари
глутамат глутамат
год года
гохэймотя гохэймоти
гранатовый гранатовым
гриб грибы
гэммайтить гэммайтя
гюдон гюдон
гюоть гюото
гёдз гёдза
гёкурый гёкуро
дайкон дайкон
дайфук дайфуку
данго данго
дася даси
дата дата
действовать действовать
декабрь декабря
декор декора
декорирование декорирования
десерт десерты
дзара дзару
дзосуя дзосуи
дзусить дзуси
дзюбако дзюбако
домбуря домбури
дополнительный дополнительные
дополнить дополнив
дораяк дораяки
доступный доступен
другой других
дэб дэба
еда еде
ещё ещё
её её
жир жиры
заглавный заглавная
заготовка заготовка
заменить заменить
запись запись
зарегистрировать зарегистрированный
зачастую зачастую
заявление заявление
зелёный зелёный
знак знак
значительно значительно
избранный избранные
икра икра икру икры
икринка икринки
икура икура
имбирь имбирем
иметь имеет
имя имён
ингредиент ингредиент ингредиенты
инструмент инструмент инструменты
использование использование использования
использовать используют
использоваться используется
история история
источник источник
кабусэтить кабусэтя
кагосима кагосима
кай каю
кайсэк кайсэки
кайтэн кайтэн
какунь какуни
калифорния калифорния
калорийность калорийности калорийность
камабоко камабоко
караагэ караагэ
каракатица каракатицы
карась караси
карри карри
карукан карукан
кас касу
категория категории категория
кац кацу
кацудон кацудон
кацуобуся кацуобуси
качество качестве
кибить киби
ккал ккал
клейкий клейкий
код код
кодекс кодекс
комба комбу
компэйтый компэйто
конняк конняку
конфиденциальность конфиденциальности
копчёный копченый
короккэ короккэ
короткий короткий
который которая которые который
кофе кофе
красноватый красновато
красный красный
крупный крупнее
кудзукий кудзуко
кудзумотя кудзумоти
кук куки
кукитя кукитя
кулинария кулинарии
кунжутный кунжутное
куромица куромицу
кусикац кусикацу
кухня кухне кухни кухня
кухонный кухонные кухонный
лапша лапша
летучий летучей летучие
липовитать липовитан
лицензия лицензии
лопух лопух
лосось лосося
магазин магазинов
магуро магуро
майонез майонез
маленький меньше
мандзя мандзю
мариновать маринованном
март марта
масаго масаго
масло масло
материал материал
маттить маття
мацутакэ мацутакэ
мелона мелон
мирина мирин
мисо мисо
